#{"t_start": 1767536782.4364533, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.0,360,0.666004
0.0,360,1.285157
0.0,360,1.902199
0.0,360,2.509123
0.0,360,3.105511
0.0,360,6.470907
0.0,360,7.069604
0.0,360,7.687403
0.0,360,8.311088
0.0,360,8.93205
0.0,360,9.549209
0.0,360,12.928868
0.0,360,13.526311
0.0,360,14.178363
0.0,360,14.816347
0.0,360,15.457975
0.0,360,16.104297
0.0,360,19.756493
0.0,360,20.40911
0.0,360,21.083072
0.0,360,21.74463
0.3925,243,22.185449
0.0,360,22.822423
0.0,360,26.281778
0.6275,149,26.534565
0.0,360,27.147017
0.0,360,27.761017
0.0,360,28.390964
0.0,360,29.024497
0.0,360,32.366207
0.0,360,32.974189
0.0,360,33.578893
0.5725,171,33.869477
0.0,360,34.493158
0.0,360,35.105095
0.0,360,38.354937
0.0,360,38.987204
0.0,360,39.60522
0.0,360,40.213949
0.215,314,40.744292
0.0,360,41.360745
0.0,360,44.669062
0.0,360,45.285541
0.0,360,45.878893
0.0,360,46.467027
0.0,360,47.090901
0.0,360,47.715047
0.0,360,50.986218
0.0,360,51.60829
0.0,360,52.233809
0.0,360,52.854067
0.0,360,53.482873
0.0,360,56.645619
0.0,360,57.197005
0.0,360,57.851327
0.0,360,58.690226
0.0,360,59.266081
0.0,360,59.813121
0.0,360,62.738024
0.0,360,63.271942
0.0,360,63.851205
0.0,360,64.393382
0.0,360,64.934796
0.0,360,65.483093
0.0,360,68.425514
0.0,360,68.945116
0.0,360,69.492109
0.0,360,70.046787
0.0,360,70.620969
0.0,360,73.572246
0.2075,317,74.09582
0.0,360,74.671203
0.0,360,75.185982
0.375,250,75.547891
0.0,360,76.058555
0.0,360,79.035767
0.0,360,79.593994
0.0,360,80.121212
0.0,360,80.68319
0.0,360,81.22522
0.0,360,81.799878
0.59,164,82.043969
0.0,360,85.033984
0.1,360,85.584959
0.0,360,86.119976
0.0,360,86.688385
0.2975,281,87.146056
0.0,360,87.705959
0.0,360,90.664746
0.0,360,91.194161
0.4425,223,91.512729
0.38,248,91.901978
0.0,360,92.427981
0.885,46,92.503238
0.2425,303,92.957942
0.0,360,95.881748
0.845,62,95.971203
0.1475,341,96.458943
0.0,360,97.010937
0.0,360,97.591315
0.0,360,98.135166
0.0,360,98.670049
0.0,360,101.678948
0.0,360,102.226908
0.0,360,102.788359
0.0,360,103.348223
0.0,360,103.884501
0.0,360,106.861944
0.0,360,107.384268
0.0,360,107.964014
0.0,360,108.539951
0.0,360,109.091094
0.0,360,109.614731
0.0,360,112.621727
0.0,360,113.167147
0.0,360,113.7087
0.0,360,114.382146
0.0,360,114.961187
0.455,218,115.292575
0.0,360,118.820894
0.0,360,119.460048
0.0,360,120.088066
0.0,360,120.723094
0.0,360,121.367085
0.0,360,121.995505
0.0,360,125.38118
0.0,360,126.026145
0.0,360,126.680845
0.0,360,127.311079
0.0,360,127.940852
0.265,294,128.458775
0.0,360,131.950081
0.0,360,132.573417
0.8,80,132.724302
0.0,360,133.346913
0.9025,39,133.415148
0.0,360,134.036735
0.0,360,134.663425
0.2875,285,137.991795
0.0,360,138.642483
0.0,360,139.295789
0.0,360,139.959723
0.0,360,140.628466
0.0,360,141.289211
0.7025,119,141.526422
0.0,360,144.886858
0.0,360,145.50691
0.0,360,146.136027
0.0,360,146.758851
0.0,360,147.362073
0.0,360,150.685449
0.0,360,151.30861
0.0,360,151.915992
0.275,290,152.400399
0.0,360,153.024381
0.0,360,153.643072
0.0,360,156.914172
0.105,358,157.523156
0.0,360,158.189022
0.0,360,158.805868
0.0,360,159.438213
0.3,280,159.919913
0.0,360,163.266636
0.465,214,163.653581
0.0,360,164.262947
0.0,360,164.883921
0.0,360,165.500824
0.8425,63,165.613958
0.735,106,165.79587
0.4425,223,166.17605
0.0,360,169.58882
0.0,360,170.210251
0.0,360,170.820273
0.0,360,171.448655
0.0,360,172.061762
0.0,360,172.678482
0.865,54,172.769578
0.9,40,175.542486
0.665,134,175.780977
0.0,360,176.395697
0.0,360,177.016933
0.4,240,177.425988
0.2725,291,177.935696
0.0,360,178.543168
0.9175,33,178.598185
0.18,328,182.068989
0.6325,147,182.33337
0.0,360,182.985834
0.0,360,183.618281
0.6875,125,183.846668
0.91,36,183.909158
0.89,44,183.982928
0.7725,91,184.141364
0.9275,29,184.193963
0.425,230,184.578972
0.6025,159,184.853802
0.0,360,185.450702
0.695,122,188.610029
0.8375,65,188.727932
0.875,50,188.817243
0.9025,39,188.892215
0.0,360,189.528081
0.695,122,189.745756
0.9075,37,189.812464
0.9175,33,189.874781
0.0,360,190.530796
0.64,144,190.800367
0.9275,29,190.851605
0.9375,25,190.897328
0.0,360,191.531195
0.575,170,191.826196
0.0,360,195.155893
0.0,360,195.786427
0.84,64,195.904153
0.7075,117,196.104981
0.9025,39,196.175814
0.9075,37,196.238898
0.0,360,196.871375
0.7775,89,197.016739
0.6625,135,197.249182
0.0,360,197.8598
0.1075,357,201.175591
0.9,40,201.24525
0.9475,21,201.281322
0.8475,61,201.388332
0.6325,147,201.641248
0.7775,89,201.801928
0.715,114,202.024888
0.7725,91,202.181853
0.965,14,202.206689
0.0,360,202.804969
0.0,360,203.420602
0.885,46,203.501842
0.0,360,204.120973
0.9275,29,204.171061
0.755,98,204.343748
0.8725,51,204.433224
0.81,76,204.57525
