#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.0,360,5.328201
0.0,360,5.736922
0.0,360,6.145964
0.0,360,6.553445
0.0,360,6.953641
0.0,360,9.27343
0.0,360,9.679105
0.0,360,10.082145
0.0,360,10.469931
0.0,360,10.890858
0.0,360,11.295953
0.0,360,13.668571
0.0,360,14.071104
0.0,360,14.472203
0.0,360,14.860296
0.0,360,15.251218
0.0,360,15.636848
0.0,360,17.955146
0.0,360,18.437828
0.0,360,19.000561
0.0,360,19.488742
0.0,360,19.972654
0.0,360,22.687885
0.0,360,23.177625
0.0,360,23.686749
0.0,360,24.159854
0.0,360,24.61182
0.0,360,25.100933
0.0,360,27.688532
0.0,360,28.177251
0.0,360,28.617008
0.0,360,29.040076
0.0,360,29.490925
0.0,360,29.918441
0.0,360,32.483016
0.0,360,32.924848
0.0,360,33.417272
0.0,360,33.903192
0.0,360,34.365315
0.0,360,36.907679
0.0,360,37.354908
0.0,360,37.803301
0.0,360,38.260894
0.0,360,38.727868
0.0,360,39.207703
0.0,360,41.69522
0.0,360,42.137123
0.0,360,42.577775
0.0,360,43.007794
0.0,360,43.448162
0.0,360,43.879806
0.0,360,46.40199
0.0,360,46.839125
0.0,360,47.280659
0.0,360,47.703828
0.0,360,48.198049
0.0,360,50.718791
0.0,360,51.18241
0.0,360,51.631615
0.0,360,52.059034
0.0,360,52.578985
0.0,360,53.0857
0.0,360,55.620768
0.0,360,56.067268
0.395,242,56.402025
0.0,360,56.948811
0.0,360,57.446938
0.0,360,57.878599
0.0,360,60.371889
0.0,360,60.812758
0.0,360,61.305652
0.0,360,61.741822
0.0,360,62.199598
0.0,360,62.638609
0.0,360,65.159025
0.0,360,65.616937
0.0,360,66.135252
0.0,360,66.587018
0.0,360,67.027643
0.0,360,69.523602
0.0,360,69.969151
0.0,360,70.44989
0.0,360,70.879689
0.0,360,71.331013
0.0,360,71.772928
0.0,360,74.280037
0.0,360,74.741782
0.0,360,75.175457
0.0,360,75.61066
0.0,360,76.049042
0.0,360,76.48073
0.0,360,78.975916
0.0,360,79.435979
0.0,360,79.937018
0.0,360,80.402354
0.0,360,80.909881
0.0,360,81.339979
0.0,360,83.829871
0.0,360,84.254443
0.0,360,84.693944
0.0,360,85.131808
0.0,360,85.585288
0.67,132,85.74507
0.0,360,88.319141
0.0,360,88.767919
0.0,360,89.213772
0.0,360,89.653657
0.0,360,90.148388
0.0,360,90.638651
0.0,360,93.150184
0.0,360,93.585782
0.0,360,94.02588
0.0,360,94.46886
0.0,360,94.935977
0.0,360,97.443818
0.0,360,97.912597
0.0,360,98.331974
0.0,360,98.772608
0.0,360,99.21114
0.0,360,99.647652
0.0,360,102.163995
0.0,360,102.635033
0.0,360,103.0907
0.0,360,103.551804
0.525,190,103.819683
0.0,360,104.280117
0.0,360,106.820982
0.1075,357,107.252745
0.0,360,107.764788
0.0,360,108.198099
0.0,360,108.647672
0.0,360,109.094734
0.0,360,111.594164
0.0,360,112.099761
0.0,360,112.672915
0.0,360,113.201887
0.0,360,113.713845
0.0,360,116.217781
0.0,360,116.677136
0.495,202,116.926199
0.0,360,117.379035
0.0,360,117.82562
0.0,360,118.273963
0.0,360,118.732141
0.0,360,121.219787
0.0,360,121.764901
0.0,360,122.250623
0.0,360,122.765532
0.0,360,123.250979
0.0,360,125.87289
0.0,360,126.416892
0.0,360,126.892654
0.0,360,127.374404
0.0,360,127.820598
0.0,360,128.255977
0.0,360,130.779223
0.0,360,131.264101
0.0,360,131.714005
0.0,360,132.244725
0.7375,105,132.372752
0.0,360,132.803735
0.0,360,135.311976
0.0,360,135.758986
0.8825,47,135.815937
0.0,360,136.259077
0.53,188,136.513727
0.0,360,136.963988
0.0,360,137.404061
0.0,360,139.906729
0.565,174,140.135658
0.62,152,140.319047
0.0,360,140.752993
0.2175,313,141.157889
0.0,360,141.610178
0.8225,71,141.694577
0.0,360,142.146231
0.125,350,144.618304
0.295,282,144.951141
0.8975,41,144.99978
0.0,360,145.477542
0.0,360,145.912973
0.0,360,146.392887
0.7775,89,146.509839
0.0,360,146.944737
0.0,360,149.485227
0.0,360,149.988776
0.0,360,150.444999
0.0,360,150.938943
0.0,360,151.401842
0.0,360,154.068936
0.0,360,154.51855
0.0,360,154.960739
0.35,260,155.335783
0.0,360,155.795207
0.7925,83,155.892123
